tmp,ewg_id,PFA,Location detected,Maximum Level (ppt)Years tested,Years tested,Maximum Level (ppt)*
,262,PFOS,GroundwaterOn-base,"89,0002018",NA,NA
,262,PFOS+PFOA,GroundwaterOn-base,"94,4002018",NA,NA
,263,6:2 FTS,GroundwaterOn-base,5102018,NA,NA
,263,8:2 FTS,GroundwaterOn-base,692018,NA,NA
,263,PFBS,GroundwaterOn-base,162018,NA,NA
,263,PFDA,GroundwaterOn-base,9.32018,NA,NA
,263,PFDoA,GroundwaterOn-base,1.92018,NA,NA
,263,PFHpA,GroundwaterOn-base,2102018,NA,NA
,263,PFHxA,GroundwaterOn-base,"1,1002018",NA,NA
,263,PFHxS,GroundwaterOn-base,"2,9002018",NA,NA
,263,PFNA,GroundwaterOn-base,6.42018,NA,NA
,263,PFOA,GroundwaterOn-base,"2,2002018",NA,NA
,263,PFOS,GroundwaterOn-base,1602018,NA,NA
,263,PFOS+PFOA,GroundwaterOn-base,"2,2132018",NA,NA
,263,PFUnA,GroundwaterOn-base,1.92018,NA,NA
,264,6:2 FTS,GroundwaterOn-base,3772018,NA,NA
,264,8:2 FTS,GroundwaterOn-base,362018,NA,NA
,264,PFBS,GroundwaterOn-base,"17,6002018",NA,NA
,264,PFDA,GroundwaterOn-base,122018,NA,NA
,264,PFDoA,GroundwaterOn-base,122018,NA,NA
,264,PFHpA,GroundwaterOn-base,1462018,NA,NA
,264,PFHxA,GroundwaterOn-base,5192018,NA,NA
,264,PFHxS,GroundwaterOn-base,"2,4102018",NA,NA
,264,PFNA,GroundwaterOn-base,202018,NA,NA
,264,PFOA,GroundwaterOn-base,"70,7002018",NA,NA
,264,PFOS,GroundwaterOn-base,"740,0002018",NA,NA
,264,PFOS+PFOA,GroundwaterOn-base,"810,7002018",NA,NA
,264,PFTeA,GroundwaterOn-base,122018,NA,NA
,264,PFTrDA,GroundwaterOn-base,122018,NA,NA
,264,PFUnA,GroundwaterOn-base,122018,NA,NA
,265,6:2 FTS,GroundwaterOn-base,322019,NA,NA
,265,8:2 FTS,GroundwaterOn-base,322019,NA,NA
,265,NEtFOSAA,GroundwaterOn-base,332019,NA,NA
,265,NMeFOSAA,GroundwaterOn-base,332019,NA,NA
,265,PFBS,GroundwaterOn-base,202019,NA,NA
,265,PFHpA,GroundwaterOn-base,302019,NA,NA
,265,PFHxA,GroundwaterOn-base,132019,NA,NA
,265,PFHxS,GroundwaterOn-base,222019,NA,NA
,265,PFNA,GroundwaterOn-base,6.42019,NA,NA
,265,PFOA,GroundwaterOn-base,392019,NA,NA
,265,PFOS,GroundwaterOn-base,6.42019,NA,NA
,265,PFOS+PFOA,GroundwaterOn-base,392019,NA,NA
,265,PFTrDA,GroundwaterOn-base,122019,NA,NA
,265,PFUnA,GroundwaterOn-base,122019,NA,NA
,266,PFBS,GroundwaterOn-base,"2,3002019",NA,NA
