pws_id,Chemical,Years tested,Maximum Level (ppt)
CO0101063,PFBS,2020,2.1
CO0101063,PFHxS,2020,1.2
CO0101063,PFHxA,2020,2.3
CO0101063,PFOS,2020,3.5
CO0101063,PFOA,2020,2.1
CO0101063,PFNA,2020,0.5
CO0101063,PFHpA,2020,0.9
CO0101063,Total PFAS,2020,13
CO0101085,PFBS,2020,1.8
CO0101085,PFHxS,2020,2.1
CO0101085,PFOS,2020,2.4
CO0101085,PFOA,2020,2.3
CO0101085,PFNA,2020,2.4
CO0101085,PFDA,2020,2.7
CO0101085,PFDoA,2020,3.1
CO0101085,PFTA,2020,2.7
CO0101085,PFTrDA,2020,3
CO0101085,PFUnA,2020,2.8
CO0101085,9Cl-PF3ONS,2020,2.7
CO0101085,11Cl-PF3OUdS,2020,2.6
CO0101085,ADONA,2020,1.9
CO0101085,HFPO-DA,2020,2.2
CO0101085,N-EtFOSAA,2020,2.9
CO0101085,NMeFOSAA,2020,2.8
CO0101085,PFHpA,2020,2.3
CO0101085,Total PFAS,2020,43
CO0101115,PFBS,2020,0.6
CO0101115,PFHxA,2020,0.8
CO0101115,PFOS,2020,0.6
CO0101115,Total PFAS,2020,2
CO0103005,PFBS,2020-2023,3.4
CO0103005,PFBA,2023,7.8
CO0103005,PFHxS,2020,2.6
CO0103005,PFHxA,2023,5.6
CO0103005,PFOS,2020,2.1
CO0103005,PFOA,2020,3.2
CO0103005,PFPeA,2023,7.2
CO0103005,PFHpA,2020,2.1
CO0103005,Total PFAS,2020-2023,24
CO0103045,PFBS,2020,9
CO0103045,PFHxS,2020,2.2
CO0103045,PFHxA,2020,5.6
CO0103045,PFOS,2020,2.5
CO0103045,PFOA,2020,3.5
CO0103045,PFHpA,2020,1.4
CO0103045,Total PFAS,2020,24
CO0107473,PFBS,2020,1.3
CO0107473,PFHxS,2020,1.2
CO0107473,PFHxA,2020,1.1
CO0107473,PFOS,2020,1.4
CO0107473,PFOA,2020,1.3
CO0107473,PFHpA,2020,0.6
CO0107473,Total PFAS,2020,6.9
CO0107610,PFBS,2020,5.6
CO0107610,PFHxS,2020,3.7
CO0107610,PFHxA,2020,3.2
CO0107610,PFOS,2020,2.5
CO0107610,PFOA,2020,2.7
CO0107610,PFHpA,2020,1.3
CO0107610,Total PFAS,2020,19
CO0107719,PFBS,2020,1
CO0107719,PFHxS,2020,0.7
CO0107719,PFHxA,2020,0.4
CO0107719,PFOS,2020,0.6
CO0107719,PFOA,2020,0.5
CO0107719,Total PFAS,2020,3.2
CO0108350,PFBS,2020,0.6
CO0108350,Total PFAS,2020,0.6
CO0108650,PFBS,2020,0.5
CO0108650,Total PFAS,2020,0.5
CO0109006,PFHxA,2020,0.8
CO0109006,Total PFAS,2020,0.8
CO0113900,PFBS,2020,0.4
CO0113900,Total PFAS,2020,0.4
CO0118010,PFBA,2023,5.1
CO0118010,PFPeA,2023,4.7
CO0118010,Total PFAS,2023,9.8
CO0118020,PFBS,2023,4.7
CO0118020,PFBA,2023,5.6
CO0118020,PFHxA,2023,5.4
CO0118020,PFOA,2023,4
CO0118020,PFPeA,2023,6.2
CO0118020,Total PFAS,2023,20
CO0118040,PFBS,2020,3.1
CO0118040,PFHxS,2020,2.4
CO0118040,PFHxA,2020,6.8
CO0118040,PFOS,2020,1.8
CO0118040,PFOA,2020,2.8
CO0118040,PFHpA,2020,1.9
CO0118040,Total PFAS,2020,19
CO0118076,PFBS,2020,1.5
CO0118076,PFHxS,2020,1.1
CO0118076,PFHxA,2020,3.3
CO0118076,PFOS,2020,1.1
CO0118076,PFOA,2020,1.4
CO0118076,PFHpA,2020,0.8
CO0118076,Total PFAS,2020,9.2
CO0119134,PFBS,2020,3.6
CO0119134,PFHxS,2020,0.6
CO0119134,Total PFAS,2020,4.2
CO0119234,PFBS,2020,1.3
CO0119234,PFOS,2020,1
CO0119234,Total PFAS,2020,2.3
CO0119321,PFBS,2020,1.9
CO0119321,PFHxA,2020,0.9
CO0119321,PFOA,2020,1.4
CO0119321,PFHpA,2020,0.3
CO0119321,Total PFAS,2020,3.3
CO0119673,PFHxA,2020,1.3
CO0119673,Total PFAS,2020,1.3
CO0119718,PFBS,2020,2.3
CO0119718,PFHxS,2020,0.6
CO0119718,PFHxA,2020,0.5
CO0119718,PFOS,2020,1.2
CO0119718,PFOA,2020,0.5
CO0119718,Total PFAS,2020,5.2
CO0119786,PFBS,2020,1.7
CO0119786,PFHxS,2020,1.3
CO0119786,PFHxA,2020,1.4
CO0119786,PFOS,2020,0.8
CO0119786,PFOA,2020,1.4
CO0119786,PFHpA,2020,0.4
CO0119786,Total PFAS,2020,4.6
CO0119802,PFBS,2020,1.5
CO0119802,PFHxS,2020,1.3
CO0119802,PFHxA,2020,2.2
CO0119802,PFOS,2020,1.3
CO0119802,PFOA,2020,2.6
CO0119802,PFHpA,2020,1.2
CO0119802,Total PFAS,2020,10
CO0121125,PFBS,2020,3.2
CO0121125,PFHxA,2020,2
CO0121125,PFOA,2020,1
CO0121125,Total PFAS,2020,6.2
CO0121140,PFHxS,2020,1.1
CO0121140,PFOS,2020,1.2
CO0121140,Total PFAS,2020,2.3
CO0121200,PFBS,2020,1.8
CO0121200,PFHxS,2020,1.2
CO0121200,PFHxA,2020,1
CO0121200,PFOS,2020,0.9
CO0121200,PFOA,2020,2.8
CO0121200,PFHpA,2020,0.7
CO0121200,Total PFAS,2020,7
CO0121220,PFHxA,2020,0.5
CO0121220,Total PFAS,2020,0.5
CO0121240,PFOS,2020,1
CO0121240,Total PFAS,2020,1
CO0121360,PFHxA,2020,0.5
CO0121360,Total PFAS,2020,0.5
CO0121475,PFOS,2020,0.8
CO0121475,Total PFAS,2020,0.8
CO0123123,PFBS,2020,0.8
